N_EXPEDIENT,DISTRICTE,BARRI,TIPUS_CARRER,CARRER,TIPUS_NUM,NUM1,LLETRA1,NUM2,LLETRA2,BLOC,PORTAL,ESCALA,PIS,PORTA,LONGITUD_X,LATITUD_Y
01-2013-0753,CIUTAT VELLA,el Raval,CARRER,HOSPITAL,1,25,,,,,,,1,2,2.172227285,41.38088335
02-2014-0566,L'EIXAMPLE,la Sagrada Família,AVINGUDA,GAUDI,1,51,,53,,,,,EN,1,2.174215606,41.40844312
02-2014-0207,L'EIXAMPLE,la Dreta de l'Eixample,PLAÇA,TETUAN,1,33,,,,,,,SA,2,2.176060643,41.3956364
01-2014-0073,CIUTAT VELLA,el Raval,CARRER,JUNTA DE COMERÇ,1,23,,,,,,,2,1A,2.171889963,41.37944639
02-2014-1125,L'EIXAMPLE,la Dreta de l'Eixample,GRAN VIA,CORTS CATALANES,2,682,,,,,,,2,1,2.173056644,41.39268474
02-2014-0241,L'EIXAMPLE,l'Antiga Esquerra de l'Eixample,CARRER,ENRIC GRANADOS,1,125,,,,,,,2,1,2.154581424,41.39355709
02-2014-0227,L'EIXAMPLE,Sant Antoni,CARRER,CALABRIA,1,5,,,,,,,1,,2.160461011,41.37544945
02-2014-0228,L'EIXAMPLE,Sant Antoni,CARRER,CALABRIA,1,5,,,,,,,AT,,2.160461011,41.37544945
04-2013-0191,LES CORTS,les Corts,AVINGUDA,JOSEP TARRADELLAS,1,147,,,,,,,6,2,2.143489878,41.39109449
02-2013-0972,L'EIXAMPLE,Sant Antoni,CARRER,COMTE BORRELL,1,37,,,,,,,EN,4,2.163369613,41.37666084
02-2013-0975,L'EIXAMPLE,la Dreta de l'Eixample,PASSEIG,GRACIA,1,3,,,,,,,5,2,2.169270627,41.38821806
06-2013-0312,GRACIA,la Vila de Gràcia,CARRER,MASSENS,1,23,,,,,,,BJ,,2.157429153,41.40739517
06-2013-0313,GRACIA,la Vila de Gràcia,CARRER,MASSENS,1,23,,,,,,,1,1,2.157429153,41.40739517
06-2013-0315,GRACIA,la Vila de Gràcia,CARRER,MASSENS,1,23,,,,,,,2,1,2.157429153,41.40739517
06-2013-0316,GRACIA,la Vila de Gràcia,CARRER,MASSENS,1,23,,,,,,,2,2,2.157429153,41.40739517
02-2013-0998,L'EIXAMPLE,la Nova Esquerra de l'Eixample,CARRER,CALABRIA,2,120,,,,,,,4,2,2.153717126,41.38082045
06-2013-0314,GRACIA,la Vila de Gràcia,CARRER,MASSENS,1,23,,,,,,,1,2,2.157429153,41.40739517
02-2013-1086,L'EIXAMPLE,Sant Antoni,CARRER,MUNTANER,1,7,,,,,,,3,1,2.162910139,41.38384194
02-2013-1087,L'EIXAMPLE,Sant Antoni,CARRER,MUNTANER,1,7,,,,,,,3,2A,2.162910139,41.38384194
03-2013-0335,SANTS-MONTJUÏC,el Poble Sec,CARRER,CREU DELS MOLERS,2,76,,,,,,,3,,2.160871968,41.3717224
02-2013-1043,L'EIXAMPLE,la Nova Esquerra de l'Eixample,CARRER,CORSEGA,1,77,,,,,,,5,4,2.144484744,41.38546396
10-2013-0384,SANT MARTI,el Poblenou,CARRER,PUJADES,2,238,,,,,,,BJ,I2,2.20348983,41.40366453
06-2013-0323,GRACIA,el Camp d'en Grassot i Gràcia Nova,CARRER,BAILEN,2,212,,,,,,B,EN,4,2.163848547,41.40218313
06-2013-0324,GRACIA,el Camp d'en Grassot i Gràcia Nova,TRAVESSERA,GRACIA,2,274,,,,,,A,1,1,2.166284384,41.40651813
10-2013-0418,SANT MARTI,el Camp de l'Arpa del Clot,CARRER,INDEPENDENCIA,2,258,,,,,,,1,2,2.184212281,41.40729046
03-2013-0324,SANTS-MONTJUÏC,el Poble Sec,CARRER,PIQUER,1,15,,,,,,,3,1,2.170562598,41.37274951
02-2013-0987,L'EIXAMPLE,l'Antiga Esquerra de l'Eixample,CARRER,COMTE D'URGELL,2,74,,,,,,,2,1,2.158058492,41.38272025
07-2013-0155,HORTA-GUINARDÓ,Sant Genís dels Agudells,CARRER,BALDOMER GIRONA,2,16,,,,,,,BJ,,2.13572759,41.42802081
02-2013-0994,L'EIXAMPLE,Sant Antoni,CARRER,SEPULVEDA,2,156,,160,,,,,6,2,2.161439669,41.38226052
02-2013-1055,L'EIXAMPLE,Sant Antoni,CARRER,FLORIDABLANCA,2,148,,,,,,,2,2,2.162879641,41.38165334
02-2013-1082,L'EIXAMPLE,Sant Antoni,CARRER,MUNTANER,1,7,,,,,,,PR,1,2.162910139,41.38384194
06-2013-0332,GRACIA,el Camp d'en Grassot i Gràcia Nova,CARRER,PI I MARGALL,1,7,,,,,,,3,2,2.162993062,41.40629835
02-2013-1075,L'EIXAMPLE,la Sagrada Família,CARRER,MALLORCA,1,371,,,,,,,5,2,2.172759752,41.40164548
02-2013-1083,L'EIXAMPLE,Sant Antoni,CARRER,MUNTANER,1,7,,,,,,,PR,2,2.162910139,41.38384194
02-2013-1058,L'EIXAMPLE,la Dreta de l'Eixample,RAMBLA,CATALUNYA,2,100,,,,,,,5,1,2.160343638,41.39353699
02-2013-1060,L'EIXAMPLE,la Dreta de l'Eixample,RAMBLA,CATALUNYA,2,100,,,,,,,3,3,2.160343638,41.39353699
02-2013-1084,L'EIXAMPLE,Sant Antoni,CARRER,MUNTANER,1,7,,,,,,,2,2,2.162910139,41.38384194
10-2013-0427,SANT MARTI,el Poblenou,CARRER,ESPRONCEDA,2,88,,,,,,,1,1,2.204944018,41.40522915
10-2013-0428,SANT MARTI,el Poblenou,CARRER,ESPRONCEDA,2,88,,,,,,,2,1,2.204944018,41.40522915
02-2013-1033,L'EIXAMPLE,Sant Antoni,CARRER,TAMARIT,2,90,,,,,,,4,,2.156987051,41.37551357
02-2013-0989,L'EIXAMPLE,la Nova Esquerra de l'Eixample,CARRER,CALABRIA,2,222,,,,,,,4,1,2.147850668,41.38525357
02-2013-1026,L'EIXAMPLE,Sant Antoni,AVINGUDA,MISTRAL,1,61,,,,,,,5,2,2.154784627,41.37593807
02-2013-1027,L'EIXAMPLE,Sant Antoni,AVINGUDA,MISTRAL,1,61,,,,,,,6,1,2.154784627,41.37593807
03-2013-0338,SANTS-MONTJUÏC,Hostafrancs,CARRER,CREU COBERTA,2,50,,,,,,,1,1,2.146021258,41.37530317
10-2013-0429,SANT MARTI,el Poblenou,CARRER,LOPE DE VEGA,1,115,,,,,,,PR,4,2.202249447,41.40528359
03-2013-0351,SANTS-MONTJUÏC,Sants,CARRER,SAGUNT,1,71,,,,,,,BJ,,2.135060929,41.37187687
02-2013-1009,L'EIXAMPLE,l'Antiga Esquerra de l'Eixample,CARRER,PROVENÇA,1,131,,133,,,,,PR,2,2.152236782,41.38791921
02-2013-1010,L'EIXAMPLE,l'Antiga Esquerra de l'Eixample,CARRER,PROVENÇA,1,131,,133,,,,,3,4,2.152236782,41.38791921
02-2013-1028,L'EIXAMPLE,Sant Antoni,AVINGUDA,MISTRAL,1,61,,,,,,,6,2,2.154784627,41.37593807
02-2013-1021,L'EIXAMPLE,Sant Antoni,AVINGUDA,MISTRAL,1,61,,,,,,,3,1,2.154784627,41.37593807
02-2013-1022,L'EIXAMPLE,Sant Antoni,AVINGUDA,MISTRAL,1,61,,,,,,,3,2,2.154784627,41.37593807
02-2013-1029,L'EIXAMPLE,Sant Antoni,AVINGUDA,MISTRAL,1,61,,,,,,,7,2,2.154784627,41.37593807
03-2013-0341,SANTS-MONTJUÏC,Hostafrancs,CARRER,CREU COBERTA,2,50,,,,,,,4,2,2.146021258,41.37530317
03-2013-0342,SANTS-MONTJUÏC,Hostafrancs,CARRER,CREU COBERTA,2,50,,,,,,,4,1,2.146021258,41.37530317
02-2013-1023,L'EIXAMPLE,Sant Antoni,AVINGUDA,MISTRAL,1,61,,,,,,,4,1,2.154784627,41.37593807
07-2013-0148,HORTA-GUINARDÓ,el Baix Guinardó,TRAVESSERA,GRACIA,2,316,,322,,,B,,AT,1,2.168611796,41.40797375
03-2013-0343,SANTS-MONTJUÏC,Hostafrancs,CARRER,CREU COBERTA,2,50,,,,,,,3,2,2.146021258,41.37530317
02-2013-1011,L'EIXAMPLE,la Sagrada Família,CARRER,SARDENYA,2,338,,,,,,,2,2,2.172397025,41.40423588
03-2013-0344,SANTS-MONTJUÏC,Hostafrancs,CARRER,CREU COBERTA,2,50,,,,,,,2,2,2.146021258,41.37530317
03-2013-0345,SANTS-MONTJUÏC,Hostafrancs,CARRER,CREU COBERTA,2,50,,,,,,,2,1,2.146021258,41.37530317
03-2013-0346,SANTS-MONTJUÏC,Hostafrancs,CARRER,CREU COBERTA,2,50,,,,,,,1,2,2.146021258,41.37530317
02-2013-0982,L'EIXAMPLE,la Nova Esquerra de l'Eixample,CARRER,ENTENÇA,1,163,,,,,,,5,1,2.144336609,41.38421758
02-2013-0983,L'EIXAMPLE,la Nova Esquerra de l'Eixample,CARRER,ENTENÇA,1,163,,,,,,,4,1,2.144336609,41.38421758
02-2013-0969,L'EIXAMPLE,la Dreta de l'Eixample,GRAN VIA,CORTS CATALANES,1,667,,,,,,,3,2,2.173989498,41.39405006
02-2013-1024,L'EIXAMPLE,Sant Antoni,AVINGUDA,MISTRAL,1,61,,,,,,,4,2,2.154784627,41.37593807
02-2013-1025,L'EIXAMPLE,Sant Antoni,AVINGUDA,MISTRAL,1,61,,,,,,,5,1,2.154784627,41.37593807
03-2013-0347,SANTS-MONTJUÏC,Hostafrancs,CARRER,CREU COBERTA,2,50,,,,,,,PR,2,2.146021258,41.37530317
02-2013-1016,L'EIXAMPLE,la Dreta de l'Eixample,CARRER,ROSSELLO,2,284,,,,,,,2,2,2.165564574,41.39938447
02-2013-1019,L'EIXAMPLE,Sant Antoni,AVINGUDA,MISTRAL,1,61,,,,,,,2,1,2.154784627,41.37593807
02-2013-1020,L'EIXAMPLE,Sant Antoni,AVINGUDA,MISTRAL,1,61,,,,,,,2,2,2.154784627,41.37593807
02-2013-0990,L'EIXAMPLE,la Sagrada Família,CARRER,VALENCIA,2,492,,,,,,,AT,1,2.179226793,41.40450504
02-2013-1013,L'EIXAMPLE,Sant Antoni,AVINGUDA,MISTRAL,1,61,,,,,,,1,2,2.154784627,41.37593807
03-2013-0316,SANTS-MONTJUÏC,el Poble Sec,CARRER,POETA CABANYES,2,86,,,,,,,PR,1,2.164129508,41.37141328
02-2013-1015,L'EIXAMPLE,la Dreta de l'Eixample,PASSATGE,CONCEPCIO,2,2,,,,,,,2,2,2.160574296,41.394991
01-2013-0447,CIUTAT VELLA,el Raval,CARRER,CARME,1,97,,,,,,,2,3,2.166835477,41.38003158
10-2013-0409,SANT MARTI,el Camp de l'Arpa del Clot,CARRER,INDUSTRIA,2,276,B,280,,,,,2,3,2.180253612,41.4139827
10-2013-0410,SANT MARTI,el Camp de l'Arpa del Clot,CARRER,INDUSTRIA,2,276,B,280,,,,,3,2,2.180253612,41.4139827
01-2013-0423,CIUTAT VELLA,el Raval,CARRER,CARME,2,10,,,,,,,PR,1,2.171047917,41.38273074
01-2013-0424,CIUTAT VELLA,el Raval,CARRER,CARME,2,10,,,,,,,PR,2,2.171047917,41.38273074
01-2013-0425,CIUTAT VELLA,el Raval,CARRER,CARME,2,10,,,,,,,PR,3,2.171047917,41.38273074
02-2013-1041,L'EIXAMPLE,la Dreta de l'Eixample,CARRER,BRUC,1,65,,,,,,,AT,2,2.170092561,41.39375576
10-2013-0417,SANT MARTI,el Poblenou,CARRER,PUJADES,2,286,,,,,,,2,1,2.205989861,41.40556899
10-2013-0411,SANT MARTI,el Camp de l'Arpa del Clot,CARRER,INDUSTRIA,2,276,B,280,,,,,3,4,2.180253612,41.4139827
06-2013-0320,GRACIA,la Vila de Gràcia,TRAVESSERA,GRACIA,1,187,,,,,,,2,4,2.159339676,41.40233322
10-2013-0412,SANT MARTI,el Camp de l'Arpa del Clot,CARRER,INDUSTRIA,2,276,B,280,,,,,3,5,2.180253612,41.4139827
02-2013-1035,L'EIXAMPLE,la Nova Esquerra de l'Eixample,CARRER,CALABRIA,2,104,,,,,,,1,2P,2.15474711,41.38004653
02-2013-1042,L'EIXAMPLE,la Sagrada Família,CARRER,MALLORCA,2,496,,,,,,,AT,1,2.180280333,41.4069984
02-2013-1045,L'EIXAMPLE,la Nova Esquerra de l'Eixample,CARRER,CALABRIA,1,199,,,,,,,1,4,2.14855726,41.38444227
10-2013-0422,SANT MARTI,Diagonal Mar i el Front Marítim del Poblenou,PASSEIG,TAULAT,1,271,,,,,,,5,5,2.212606301,41.40521565
10-2013-0424,SANT MARTI,el Poblenou,CARRER,DOCTOR TRUETA,1,173,,,,,,B,3,4,2.200512252,41.39686219
03-2013-0329,SANTS-MONTJUÏC,el Poble Sec,CARRER,OLIVERA,1,29,,,,,,D,3,,2.157457129,41.37360041
01-2013-0445,CIUTAT VELLA,el Barri Gòtic,CARRER,SANT DOMENEC DEL CALL,2,14,,,,,,,4,1,2.175493835,41.38289812
01-2013-0426,CIUTAT VELLA,el Raval,CARRER,CARME,2,10,,,,,,,PR,4,2.171047917,41.38273074
01-2013-0433,CIUTAT VELLA,el Raval,CARRER,CARME,2,10,,,,,,,2,2,2.171047917,41.38273074
01-2013-0427,CIUTAT VELLA,el Raval,CARRER,CARME,2,10,,,,,,,1,1,2.171047917,41.38273074
01-2013-0428,CIUTAT VELLA,el Raval,CARRER,CARME,2,10,,,,,,,1,2,2.171047917,41.38273074
01-2013-0429,CIUTAT VELLA,el Raval,CARRER,CARME,2,10,,,,,,,1,3,2.171047917,41.38273074
01-2013-0431,CIUTAT VELLA,el Raval,CARRER,CARME,2,10,,,,,,,1,4,2.171047917,41.38273074
01-2013-0432,CIUTAT VELLA,el Raval,CARRER,CARME,2,10,,,,,,,2,1,2.171047917,41.38273074
10-2014-0091,SANT MARTI,el Poblenou,CARRER,LLULL,1,223,,,,,,,3,3,2.204273999,41.40274605
02-2013-0996,L'EIXAMPLE,la Sagrada Família,CARRER,SICILIA,1,211,,,,,,,2,,2.17375396,41.40123289
06-2014-0616,GRACIA,la Vila de Gràcia,CARRER,SANT DOMENEC,1,9,,,,,,,2,1,2.156499909,41.39987503
06-2014-0617,GRACIA,la Vila de Gràcia,CARRER,SANT DOMENEC,1,9,,,,,,,2,2,2.156499909,41.39987503
02-2014-0203,L'EIXAMPLE,la Dreta de l'Eixample,CARRER,GIRONA,1,97,,,,,,,4,3,2.1691903,41.39614379
02-2014-0204,L'EIXAMPLE,la Dreta de l'Eixample,CARRER,GIRONA,1,97,,,,,,,2,2,2.1691903,41.39614379
05-2013-0319,SARRIA-SANT GERVASI,Sant Gervasi - Galvany,CARRER,CALVET,1,15,,,,,,,2,1,2.144238486,41.39399069
01-2013-0411,CIUTAT VELLA,el Barri Gòtic,CARRER,SERRA,2,8,,,,,,,2,,2.178115446,41.38000168
06-2013-0306,GRACIA,la Vila de Gràcia,CARRER,LLIBERTAT,1,43,,,,,,,2,1,2.162270713,41.40050934
10-2013-0391,SANT MARTI,la Vila Olímpica del Poblenou,CARRER,ROSA SENSAT,1,31,,,,,,,3,3,2.194267619,41.392456
03-2013-0320,SANTS-MONTJUÏC,el Poble Sec,AVINGUDA,PARAL.LEL,1,113,,,,,,,1,1,2.162251246,41.37480178
02-2013-0974,L'EIXAMPLE,l'Antiga Esquerra de l'Eixample,CARRER,CORSEGA,1,193,,,,,,,3,2,2.150826765,41.39025317
02-2013-0976,L'EIXAMPLE,l'Antiga Esquerra de l'Eixample,CARRER,CORSEGA,1,193,,,,,,,2,2,2.150826765,41.39025317
02-2013-0977,L'EIXAMPLE,l'Antiga Esquerra de l'Eixample,CARRER,CORSEGA,1,193,,,,,,,EN,2,2.150826765,41.39025317
02-2013-0973,L'EIXAMPLE,la Dreta de l'Eixample,RAMBLA,CATALUNYA,1,113,,,,,,,PR,1,2.159254941,41.39393576
02-2013-2004,L'EIXAMPLE,Sant Antoni,CARRER,SEPULVEDA,1,151,,,,,,,SA,2,2.161174663,41.38234471
06-2013-0640,GRACIA,la Vila de Gràcia,CARRER,PERE SERAFI,2,38,,,,,,,1,3,2.154799422,41.40165109
01-2018-0197,CIUTAT VELLA,el Barri Gòtic,CARRER,PETRITXOL,1,17,,,,,,,3,2,2.172506384,41.38317636
01-2018-0195,CIUTAT VELLA,el Barri Gòtic,CARRER,PETRITXOL,1,17,,,,,,,3,1,2.172506384,41.38317636
07-2014-0358,HORTA-GUINARDÓ,el Guinardó,CARRER,LLOBET I VALL-LLOSERA,2,8,,,,,,,EN,3,2.172554819,41.42192772
02-2014-0340,L'EIXAMPLE,l'Antiga Esquerra de l'Eixample,CARRER,MALLORCA,1,217,,,,,,,1,2,2.15879684,41.39113402
02-2013-2098,L'EIXAMPLE,la Dreta de l'Eixample,GRAN VIA,CORTS CATALANES,1,667,,,,,,,PR,2,2.173989498,41.39405006
02-2014-0485,L'EIXAMPLE,la Dreta de l'Eixample,CARRER,TRAFALGAR,1,33,,,,,,,1,1,2.176786013,41.38978176
02-2014-0486,L'EIXAMPLE,la Dreta de l'Eixample,CARRER,TRAFALGAR,1,33,,,,,,,1,3,2.176786013,41.38978176
02-2014-0509,L'EIXAMPLE,Sant Antoni,AVINGUDA,PARAL.LEL,2,188,,,,,,,2,4,2.153204951,41.37519979
02-2010-0560,L'EIXAMPLE,la Dreta de l'Eixample,PASSEIG,GRACIA,2,108,,,,,,,6,3,2.160390046,41.39621513
02-2010-0561,L'EIXAMPLE,la Dreta de l'Eixample,PASSEIG,GRACIA,2,108,,,,,,,6,2,2.160390046,41.39621513
02-2010-0567,L'EIXAMPLE,la Dreta de l'Eixample,CARRER,BRUC,1,5,,,,,,,3,1,2.175776396,41.38946383
02-2010-0565,L'EIXAMPLE,Sant Antoni,CARRER,ROCAFORT,2,46,,,,,,,1,1,2.155694986,41.37763209
03-2010-0231,SANTS-MONTJUÏC,el Poble Sec,CARRER,ROSER,1,21,,,,,,,3,4,2.166937327,41.37367159
02-2010-0601,L'EIXAMPLE,l'Antiga Esquerra de l'Eixample,CARRER,VALENCIA,1,115,,,,,,,5,1,2.154556106,41.38624691
04-2008-0242,LES CORTS,la Maternitat i Sant Ramon,CARRER,CARDENAL REIG,2,40,,,,,,,4,,2.117740662,41.37833465
04-2008-0243,LES CORTS,la Maternitat i Sant Ramon,CARRER,CARDENAL REIG,2,40,,,,,,,3,,2.117740662,41.37833465
06-2008-0259,GRACIA,la Vila de Gràcia,PASSEIG,GRACIA,1,115,,,,,,,3,3,2.158336102,41.39704927
06-2008-0260,GRACIA,la Vila de Gràcia,PASSEIG,GRACIA,1,115,,,,,,,2,1,2.158336102,41.39704927
06-2008-0261,GRACIA,la Vila de Gràcia,PASSEIG,GRACIA,1,115,,,,,,,4,1,2.158336102,41.39704927
02-2008-0523,L'EIXAMPLE,la Dreta de l'Eixample,CARRER,PAU CLARIS,2,76,,,,,,,PR,2B,2.171648178,41.38945381
02-2008-0567,L'EIXAMPLE,l'Antiga Esquerra de l'Eixample,CARRER,CONSELL DE CENT,1,283,,,,,,,1,2,2.161310032,41.38792539
02-2008-0568,L'EIXAMPLE,l'Antiga Esquerra de l'Eixample,CARRER,CONSELL DE CENT,1,283,,,,,,,2,1,2.161310032,41.38792539
02-2008-0569,L'EIXAMPLE,l'Antiga Esquerra de l'Eixample,CARRER,CONSELL DE CENT,1,283,,,,,,,2,2,2.161310032,41.38792539
02-2008-0570,L'EIXAMPLE,l'Antiga Esquerra de l'Eixample,CARRER,CONSELL DE CENT,1,283,,,,,,,3,1,2.161310032,41.38792539
02-2008-0525,L'EIXAMPLE,la Dreta de l'Eixample,CARRER,PAU CLARIS,2,76,,,,,,,PR,2A,2.171648178,41.38945381
02-2008-0535,L'EIXAMPLE,la Sagrada Família,AVINGUDA,DIAGONAL,2,320,B,,,,,,4,2,2.175627443,41.40081596
02-2008-0663,L'EIXAMPLE,la Sagrada Família,CARRER,MARINA,1,223,,,,,,,3,2,2.177414549,41.40208412
02-2010-0623,L'EIXAMPLE,l'Antiga Esquerra de l'Eixample,CARRER,CONSELL DE CENT,1,221,,,,,,D,2,2,2.157871151,41.38533826
02-2008-0571,L'EIXAMPLE,l'Antiga Esquerra de l'Eixample,CARRER,CONSELL DE CENT,1,283,,,,,,,3,2,2.161310032,41.38792539
02-2008-0572,L'EIXAMPLE,l'Antiga Esquerra de l'Eixample,CARRER,CONSELL DE CENT,1,283,,,,,,,4,1,2.161310032,41.38792539
02-2008-0573,L'EIXAMPLE,l'Antiga Esquerra de l'Eixample,CARRER,CONSELL DE CENT,1,283,,,,,,,4,2,2.161310032,41.38792539
02-2008-0574,L'EIXAMPLE,l'Antiga Esquerra de l'Eixample,CARRER,CONSELL DE CENT,1,283,,,,,,,5,1,2.161310032,41.38792539
03-2008-0319,SANTS-MONTJUÏC,Sants,RAMBLA,BADAL,2,148,,,,,,,EN,1,2.131557856,41.37308247
03-2008-0320,SANTS-MONTJUÏC,Sants,RAMBLA,BADAL,2,148,,,,,,,EN,2,2.131557856,41.37308247
03-2008-0321,SANTS-MONTJUÏC,Sants,RAMBLA,BADAL,2,148,,,,,,,1,1,2.131557856,41.37308247
03-2008-0322,SANTS-MONTJUÏC,Sants,RAMBLA,BADAL,2,148,,,,,,,1,2,2.131557856,41.37308247
03-2008-0323,SANTS-MONTJUÏC,Sants,RAMBLA,BADAL,2,148,,,,,,,2,1,2.131557856,41.37308247
03-2008-0324,SANTS-MONTJUÏC,Sants,RAMBLA,BADAL,2,148,,,,,,,2,2,2.131557856,41.37308247
03-2008-0325,SANTS-MONTJUÏC,Sants,RAMBLA,BADAL,2,148,,,,,,,3,1,2.131557856,41.37308247
03-2008-0326,SANTS-MONTJUÏC,Sants,RAMBLA,BADAL,2,148,,,,,,,3,2,2.131557856,41.37308247
02-2008-0590,L'EIXAMPLE,la Dreta de l'Eixample,CARRER,ARAGO,1,291,,,,,,,2,2,2.166926085,41.39391119
02-2008-0656,L'EIXAMPLE,la Sagrada Família,AVINGUDA,GAUDI,2,66,,,,,,,1,3,2.174512241,41.41022927
02-2008-0537,L'EIXAMPLE,l'Antiga Esquerra de l'Eixample,CARRER,ARIBAU,1,59,,,,,,,2,,2.158947206,41.38854382
10-2008-0259,SANT MARTI,el Camp de l'Arpa del Clot,CARRER,INDEPENDENCIA,2,350,,,,,,,1,,2.179213549,41.41110402
06-2008-0274,GRACIA,la Vila de Gràcia,CARRER,BADIA,2,8,,,,,,,1,4,2.154039282,41.40363718
05-2008-0142,SARRIA-SANT GERVASI,Sant Gervasi - Galvany,CARRER,CALVET,1,17,,,,,,,7,2,2.144077594,41.39411612
05-2008-0143,SARRIA-SANT GERVASI,Sant Gervasi - Galvany,CARRER,CALVET,1,17,,,,,,,3,3,2.144077594,41.39411612
05-2008-0144,SARRIA-SANT GERVASI,Sant Gervasi - Galvany,CARRER,CALVET,1,17,,,,,,,3,2,2.144077594,41.39411612
02-2008-0658,L'EIXAMPLE,la Dreta de l'Eixample,CARRER,VALENCIA,2,366,,,,,,,PR,3,2.170564036,41.39801108
02-2008-0662,L'EIXAMPLE,la Dreta de l'Eixample,CARRER,VALENCIA,2,366,,,,,,,4,1,2.170564036,41.39801108
06-2008-0232,GRACIA,el Camp d'en Grassot i Gràcia Nova,CARRER,VENTALLO,2,48,,,,,,,EN,2,2.165120057,41.40837874
06-2008-0234,GRACIA,el Camp d'en Grassot i Gràcia Nova,CARRER,VENTALLO,2,48,,,,,,,1,4,2.165120057,41.40837874
06-2008-0235,GRACIA,el Camp d'en Grassot i Gràcia Nova,CARRER,VENTALLO,2,48,,,,,,,2,1,2.165120057,41.40837874
06-2008-0236,GRACIA,el Camp d'en Grassot i Gràcia Nova,CARRER,VENTALLO,2,48,,,,,,,3,1,2.165120057,41.40837874
06-2008-0237,GRACIA,el Camp d'en Grassot i Gràcia Nova,CARRER,VENTALLO,2,48,,,,,,,3,2,2.165120057,41.40837874
10-2008-0260,SANT MARTI,el Camp de l'Arpa del Clot,CARRER,INDEPENDENCIA,2,350,,,,,,,2,,2.179213549,41.41110402
10-2008-0261,SANT MARTI,el Camp de l'Arpa del Clot,CARRER,INDEPENDENCIA,2,350,,,,,,,3,,2.179213549,41.41110402
02-2008-0681,L'EIXAMPLE,l'Antiga Esquerra de l'Eixample,CARRER,VALENCIA,1,101,,,,,,,AT,1,2.154112232,41.38591586
10-2008-0448,SANT MARTI,el Poblenou,CARRER,BAC DE RODA,1,63,,,,,,,5,3,2.206918453,41.40511417
10-2008-0270,SANT MARTI,el Camp de l'Arpa del Clot,CARRER,INDEPENDENCIA,2,350,,,,,,,4,,2.179213549,41.41110402
06-2008-0176,GRACIA,la Vila de Gràcia,CARRER,GRAN DE GRACIA,2,250,,,,,,,2,,2.150947754,41.40524927
05-2008-0332,SARRIA-SANT GERVASI,el Putxet i el Farró,RONDA,GENERAL MITRE,2,226,,,,,,,2,3,2.147479823,41.40563253
10-2008-0271,SANT MARTI,el Camp de l'Arpa del Clot,CARRER,INDEPENDENCIA,2,350,,,,,,,5,,2.179213549,41.41110402
10-2008-0272,SANT MARTI,el Camp de l'Arpa del Clot,CARRER,INDEPENDENCIA,2,350,,,,,,,AT,,2.179213549,41.41110402
02-2008-0548,L'EIXAMPLE,el Fort Pienc,CARRER,AUSIAS MARC,1,95,,,,,,,1,1,2.180400437,41.39506611
02-2008-0549,L'EIXAMPLE,el Fort Pienc,CARRER,AUSIAS MARC,1,95,,,,,,,1,2,2.180400437,41.39506611
02-2008-0550,L'EIXAMPLE,el Fort Pienc,CARRER,AUSIAS MARC,1,95,,,,,,,2,1,2.180400437,41.39506611
02-2008-0551,L'EIXAMPLE,el Fort Pienc,CARRER,AUSIAS MARC,1,95,,,,,,,2,2,2.180400437,41.39506611
07-2008-0185,HORTA-GUINARDÓ,el Baix Guinardó,CARRER,MARINA,2,366,,,,,,,2,,2.16965834,41.40828371
07-2008-0186,HORTA-GUINARDÓ,el Baix Guinardó,CARRER,MARINA,2,366,,,,,,,1,,2.16965834,41.40828371
10-2008-0384,SANT MARTI,Diagonal Mar i el Front Marítim del Poblenou,CARRER,PELLAIRES,1,25,,,,,,,1,A,2.210217785,41.40470091
10-2008-0386,SANT MARTI,Diagonal Mar i el Front Marítim del Poblenou,CARRER,PELLAIRES,1,25,,,,,,,1,B,2.210217785,41.40470091
10-2008-0387,SANT MARTI,Diagonal Mar i el Front Marítim del Poblenou,CARRER,PELLAIRES,1,25,,,,,,,1,C,2.210217785,41.40470091
10-2008-0388,SANT MARTI,Diagonal Mar i el Front Marítim del Poblenou,CARRER,PELLAIRES,1,25,,,,,,,2,A,2.210217785,41.40470091
10-2008-0389,SANT MARTI,Diagonal Mar i el Front Marítim del Poblenou,CARRER,PELLAIRES,1,25,,,,,,,2,B,2.210217785,41.40470091
05-2008-0141,SARRIA-SANT GERVASI,Sant Gervasi - Galvany,CARRER,CALVET,1,17,,,,,,,1,4,2.144077594,41.39411612
02-2008-0552,L'EIXAMPLE,el Fort Pienc,CARRER,AUSIAS MARC,1,95,,,,,,,3,1,2.180400437,41.39506611
02-2008-0554,L'EIXAMPLE,el Fort Pienc,CARRER,AUSIAS MARC,1,95,,,,,,,3,2,2.180400437,41.39506611
02-2008-0555,L'EIXAMPLE,el Fort Pienc,CARRER,AUSIAS MARC,1,95,,,,,,,4,1,2.180400437,41.39506611
02-2008-0557,L'EIXAMPLE,el Fort Pienc,CARRER,AUSIAS MARC,1,95,,,,,,,4,2,2.180400437,41.39506611
02-2008-0559,L'EIXAMPLE,el Fort Pienc,CARRER,AUSIAS MARC,1,95,,,,,,,5,1,2.180400437,41.39506611
05-2008-0322,SARRIA-SANT GERVASI,Sant Gervasi - Galvany,CARRER,SAGUES,1,11,,13,,,,,EN,3,2.145109568,41.39404697
