N_EXPEDIENT,DISTRICTE,BARRI,TIPUS_CARRER,CARRER,TIPUS_NUM,NUM1,LLETRA1,NUM2,LLETRA2,BLOC,PORTAL,ESCALA,PIS,PORTA,LONGITUD_X,LATITUD_Y
02-2010-0597,L'EIXAMPLE,la Dreta de l'Eixample,CARRER,ROGER DE LLURIA,1,47,,,,,,,2,,2.168961518,41.39290713
05-2010-0075,SARRIA-SANT GERVASI,el Putxet i el Farró,CARRER,ESCIPIO,2,36,B,38,,,,A,1,3,2.144661059,41.40650037
02-2009-1267,L'EIXAMPLE,Sant Antoni,CARRER,COMTE BORRELL,2,42,,,,,,,3,2,2.16291398,41.37728573
02-2009-0813,L'EIXAMPLE,l'Antiga Esquerra de l'Eixample,GRAN VIA,CORTS CATALANES,1,539,,,,,,,PR,3,2.159657216,41.3833062
06-2010-0072,GRACIA,la Vila de Gràcia,CARRER,GOYA,1,7,,,,,,,2,2,2.156959571,41.3994814
02-2010-0163,L'EIXAMPLE,l'Antiga Esquerra de l'Eixample,CARRER,ENRIC GRANADOS,2,38,,,,,,,6,1,2.158849909,41.39060165
02-2009-1028,L'EIXAMPLE,l'Antiga Esquerra de l'Eixample,CARRER,ENRIC GRANADOS,2,38,,,,,,,5,1,2.158849909,41.39060165
04-2010-0182,LES CORTS,les Corts,CARRER,JOAN GUELL,1,169,,,,,,,2,2,2.131025036,41.38352989
04-2010-0183,LES CORTS,les Corts,CARRER,JOAN GUELL,1,169,,,,,,,2,3,2.131025036,41.38352989
02-2009-0835,L'EIXAMPLE,la Sagrada Família,CARRER,ENAMORATS,1,5,,,,,,,EN,4,2.179464113,41.40186545
02-2009-0836,L'EIXAMPLE,la Sagrada Família,CARRER,ENAMORATS,1,5,,,,,,,1,4,2.179464113,41.40186545
02-2009-0838,L'EIXAMPLE,la Sagrada Família,CARRER,ENAMORATS,1,5,,,,,,,1,2,2.179464113,41.40186545
02-2009-0839,L'EIXAMPLE,la Sagrada Família,CARRER,ENAMORATS,1,5,,,,,,,3,3,2.179464113,41.40186545
02-2009-0840,L'EIXAMPLE,la Sagrada Família,CARRER,ENAMORATS,1,5,,,,,,,1,3,2.179464113,41.40186545
02-2009-0841,L'EIXAMPLE,la Sagrada Família,CARRER,ENAMORATS,1,5,,,,,,,2,2,2.179464113,41.40186545
02-2009-0842,L'EIXAMPLE,la Sagrada Família,CARRER,ENAMORATS,1,5,,,,,,,EN,1,2.179464113,41.40186545
