N_EXPEDIENT,CODI_DISTRICTE,NOM_DISTRICTE,CODI_BARRI,NOM_BARRI,TIPUS_CARRER,CARRER,TIPUS_NUM,NUM1,LLETRA1,NUM2,LLETRA2,BLOC,PORTAL,ESCALA,PIS,PORTA
10-2023-0467,10,SANT MARTI,68,el Poblenou,Carrer,PERE IV,2,124,,,,,,,2,2
10-2023-0526,10,SANT MARTI,68,el Poblenou,Carrer,BADAJOZ,2,38,,,,,,,2,2
10-2024-0082,10,SANT MARTI,68,el Poblenou,Carrer,ROC BORONAT,1,5,,,,,,,4,2
01-2011-0157,01,CIUTAT VELLA,04,Sant Pere, Santa Caterina i la Ribera,Plaça,OLLES,1,9,B,,,,,,01,2
01-2011-0197,01,CIUTAT VELLA,01,el Raval,Carrer,NOU DE LA RAMBLA,1,15,,,,,,,03,1
01-2011-0257,01,CIUTAT VELLA,03,la Barceloneta,Carrer,SANT MIQUEL,1,61,,,,,,,3,
01-2012-0166,01,CIUTAT VELLA,01,el Raval,Carrer,SALVADOR,1,7,B,,,,,,1,3
01-2012-0213,01,CIUTAT VELLA,02,el Barri Gòtic,Carrer,COMTAL,1,33,,,,,,,02,1
01-2012-0446,01,CIUTAT VELLA,04,Sant Pere, Santa Caterina i la Ribera,Carrer,VOLTA D'EN COLOMINES,1,3,,,,,,,01,
01-2012-0486,01,CIUTAT VELLA,02,el Barri Gòtic,Plaça,REIAL,2,8,,,,,,,03,3
01-2012-0513,01,CIUTAT VELLA,04,Sant Pere, Santa Caterina i la Ribera,Carrer,MONTANYANS,2,6,,8,,,,,04,1
01-2012-0523,01,CIUTAT VELLA,03,la Barceloneta,Carrer,PESCADORS,1,85,,,,,,,03,2
01-2012-0538,01,CIUTAT VELLA,01,el Raval,Carrer,SANT PAU,1,29,,,,,,,04,
01-2012-0555,01,CIUTAT VELLA,02,el Barri Gòtic,Carrer,AGLA,2,4,,,,,,,01,1
01-2012-0568,01,CIUTAT VELLA,03,la Barceloneta,Passeig,JOAN BORBO COMTE BARCELONA,2,50,,,,,,,04,4
01-2012-0636,01,CIUTAT VELLA,04,Sant Pere, Santa Caterina i la Ribera,Carrer,MERCADERS,1,5,,,,,,,03,
01-2012-0648,01,CIUTAT VELLA,01,el Raval,Carrer,NOU DE LA RAMBLA,2,10,,,,,,,EN,1A
01-2012-0654,01,CIUTAT VELLA,01,el Raval,Carrer,NOU DE LA RAMBLA,2,10,,,,,,,03,1A
01-2012-0690,01,CIUTAT VELLA,02,el Barri Gòtic,Carrer,DURAN I BAS,1,7,,,,,,,4,1
01-2012-0705,01,CIUTAT VELLA,04,Sant Pere, Santa Caterina i la Ribera,Carrer,CALDERS,2,4,,,,,,,05,
01-2013-0053,01,CIUTAT VELLA,03,la Barceloneta,Carrer,GRAU I TORRAS,1,17,,,,,,,2,
01-2013-0152,01,CIUTAT VELLA,01,el Raval,Carrer,JOAQUIN COSTA,2,28,,,,,,,3,2
01-2013-0184,01,CIUTAT VELLA,04,Sant Pere, Santa Caterina i la Ribera,Via,LAIETANA,2,54,,,,,,,AT,1
01-2013-0217,01,CIUTAT VELLA,04,Sant Pere, Santa Caterina i la Ribera,Carrer,CORDERS,1,1,,,,,,,2,
01-2013-0236,01,CIUTAT VELLA,04,Sant Pere, Santa Caterina i la Ribera,Carrer,TROMPETES,2,4,,,,,,,02,
01-2013-0237,01,CIUTAT VELLA,04,Sant Pere, Santa Caterina i la Ribera,Carrer,TROMPETES,2,4,,,,,,,03,
01-2013-0238,01,CIUTAT VELLA,04,Sant Pere, Santa Caterina i la Ribera,Carrer,TROMPETES,2,4,,,,,,,04,
01-2013-0245,01,CIUTAT VELLA,04,Sant Pere, Santa Caterina i la Ribera,Carrer,ARGENTERIA,2,6,,,,,,,02,4
01-2013-0251,01,CIUTAT VELLA,04,Sant Pere, Santa Caterina i la Ribera,Carrer,ARGENTERIA,2,6,,,,,,,01,1
01-2013-0291,01,CIUTAT VELLA,01,el Raval,Carrer,MONTSERRAT,2,8,,,,,,,EN,1
01-2013-0308,01,CIUTAT VELLA,04,Sant Pere, Santa Caterina i la Ribera,Carrer,SANT ANTONI DELS SOMBRERERS,2,4,,,,,,,04,2
01-2013-0312,01,CIUTAT VELLA,02,el Barri Gòtic,Carrer,COLOM,1,1,,,,,,,03,1
01-2013-0363,01,CIUTAT VELLA,04,Sant Pere, Santa Caterina i la Ribera,Carrer,SANT PERE MITJA,1,33,,,,,,,01,1
01-2013-0364,01,CIUTAT VELLA,04,Sant Pere, Santa Caterina i la Ribera,Carrer,SANT PERE MITJA,1,33,,,,,,,01,2
01-2013-0391,01,CIUTAT VELLA,03,la Barceloneta,Carrer,MEER,2,34,,,,,,,04,
01-2013-0424,01,CIUTAT VELLA,01,el Raval,Carrer,CARME,2,10,,,,,,,PR,2
01-2013-0432,01,CIUTAT VELLA,01,el Raval,Carrer,CARME,2,10,,,,,,,2,1
01-2013-0434,01,CIUTAT VELLA,01,el Raval,Carrer,CARME,2,10,,,,,,,2,3
01-2013-0441,01,CIUTAT VELLA,02,el Barri Gòtic,Carrer,ESCUDELLERS,2,18,,,,,,,EN,
01-2013-0512,01,CIUTAT VELLA,03,la Barceloneta,Carrer,PAREDES,1,1,,,,,,,01,2
01-2013-0553,01,CIUTAT VELLA,01,el Raval,Carrer,RAMBLA,1,41,,,,,,,03,1
01-2013-0557,01,CIUTAT VELLA,04,Sant Pere, Santa Caterina i la Ribera,Carrer,CALDERS,1,5,,,,,,,03,
01-2013-0663,01,CIUTAT VELLA,04,Sant Pere, Santa Caterina i la Ribera,Carrer,CANVIS VELLS,1,7,,,,,,,01,
01-2013-0677,01,CIUTAT VELLA,02,el Barri Gòtic,Carrer,VIDRE,2,10,,12,,,,,3,3
01-2013-0712,01,CIUTAT VELLA,04,Sant Pere, Santa Caterina i la Ribera,Carrer,REC,2,34,,,,,,,04,
01-2013-0713,01,CIUTAT VELLA,04,Sant Pere, Santa Caterina i la Ribera,Carrer,REC,2,34,,,,,,,03,
01-2013-0765,01,CIUTAT VELLA,04,Sant Pere, Santa Caterina i la Ribera,Carrer,GIRALT EL PELLISSER,2,8,,,,,,,05,
01-2013-0780,01,CIUTAT VELLA,04,Sant Pere, Santa Caterina i la Ribera,Carrer,CARDERS,2,34,,,,,,,04,
01-2013-0804,01,CIUTAT VELLA,02,el Barri Gòtic,Carrer,MILANS,1,7,,,,,,,2,1
01-2013-0834,01,CIUTAT VELLA,01,el Raval,Carrer,NOU DE LA RAMBLA,2,20,,,,,,,EN,1
01-2013-0851,01,CIUTAT VELLA,03,la Barceloneta,Carrer,SANT MIQUEL,1,107,,,,,,,01,1
01-2013-0896,01,CIUTAT VELLA,03,la Barceloneta,Carrer,MESTRANÇA,1,55,,,,,,,02,2
01-2013-0909,01,CIUTAT VELLA,03,la Barceloneta,Passeig,JOAN BORBO COMTE BARCELONA,2,38,,,,,,,EN,A
01-2013-0928,01,CIUTAT VELLA,02,el Barri Gòtic,Carrer,CORREU VELL,2,2,,,,,,,05,
01-2013-0946,01,CIUTAT VELLA,02,el Barri Gòtic,Carrer,SANTA ANNA,2,2,,,,,,,03,1
01-2013-0949,01,CIUTAT VELLA,02,el Barri Gòtic,Carrer,SANTA ANNA,2,2,,,,,,,03,2
01-2013-0952,01,CIUTAT VELLA,02,el Barri Gòtic,Passatge,BACARDI,2,2,,,,,,,3,
01-2013-0967,01,CIUTAT VELLA,04,Sant Pere, Santa Caterina i la Ribera,Carrer,FLOR DE LLIRI,1,9,,,,,,,02,1
01-2013-0976,01,CIUTAT VELLA,04,Sant Pere, Santa Caterina i la Ribera,Carrer,PESCATERIA,1,1,,,,,,,03,2
01-2013-1031,01,CIUTAT VELLA,03,la Barceloneta,Carrer,MAR,2,104,,,,,,,02,3
01-2013-1036,01,CIUTAT VELLA,04,Sant Pere, Santa Caterina i la Ribera,Carrer,JONQUERES,1,13,,,,,,,04,1
01-2014-0046,01,CIUTAT VELLA,01,el Raval,Carrer,SANTA MONICA,2,4,,,,,,,04,
01-2014-0055,01,CIUTAT VELLA,02,el Barri Gòtic,Carrer,HOSTAL D'EN SOL,1,3,,5,,,,,04,2
