CODI_EIXOS,M_CODI_EIXOS,BCN1,BCN2,BCN3,NOM,CARRCADAST,DOORNUM,CBARRI,NBARRI,CDISTRI,NDISTRIC,RCNUMBER,DATAINICI,ULTIMA_VISITA,X,Y,X_ED50,Y_ED50
movi,serv,SERVEIS,ALTRES,ALTRES,Orange,"AV DIAGONAL",89,69,"Diagonal Mar i el Front Marítim del Poblenou",10,"Sant Martí",3644423DF3834D,2012-05-16,31/03/2014,433707,4584527,"433707,7","4584527,7"
localb,locb,"LOCAL BUIT","LOCAL BUIT","LOCAL BUIT","Local buit","AV DIAGONAL",89,69,"Diagonal Mar i el Front Marítim del Poblenou",10,"Sant Martí",3644423DF3834D,2012-05-16,31/03/2014,433701,4584524,"433701,1","4584524,4"
inmo,serv,SERVEIS,SERVEIS,"ACTIVITATS IMMOBILIÀRIES","La Llave de oro","AV DIAGONAL",91,69,"Diagonal Mar i el Front Marítim del Poblenou",10,"Sant Martí",3644426DF3834D,2012-05-16,31/03/2014,433678,4584520,"433678,8",4584520
localb,locb,"LOCAL BUIT","LOCAL BUIT","LOCAL BUIT","Local buit","AV DIAGONAL",91,69,"Diagonal Mar i el Front Marítim del Poblenou",10,"Sant Martí",3644426DF3834D,2012-05-16,31/03/2014,433664,4584515,"433664,4","4584515,5"
localb,locb,"LOCAL BUIT","LOCAL BUIT","LOCAL BUIT","Local buit","AV DIAGONAL",93,69,"Diagonal Mar i el Front Marítim del Poblenou",10,"Sant Martí",3644426DF3834D,2012-05-16,31/03/2014,433649,4584511,"433649,9","4584511,1"
localb,locb,"LOCAL BUIT","LOCAL BUIT","LOCAL BUIT","Local buit","AV DIAGONAL",97,69,"Diagonal Mar i el Front Marítim del Poblenou",10,"Sant Martí",3644427DF3834D,2012-05-16,31/03/2014,433633,4584508,"433633,3","4584508,8"
ofic,serv,SERVEIS,SERVEIS,ALTRES,Pue,"AV DIAGONAL",98,71,"Provençals del Poblenou",10,"Sant Martí",3746123DF3834F,2012-05-16,31/03/2014,433735,4584596,"433735,5","4584596,6"
localb,locb,"LOCAL BUIT","LOCAL BUIT","LOCAL BUIT","Local buit","AV DIAGONAL",99,69,"Diagonal Mar i el Front Marítim del Poblenou",10,"Sant Martí",3644427DF3834D,2012-05-16,31/03/2014,433622,4584505,"433622,2","4584505,5"
localb,locb,"LOCAL BUIT","LOCAL BUIT","LOCAL BUIT","Local buit","AV DIAGONAL",99,69,"Diagonal Mar i el Front Marítim del Poblenou",10,"Sant Martí",3644427DF3834D,2012-05-16,31/03/2014,433614,4584503,"433614,4","4584503,3"
localb,locb,"LOCAL BUIT","LOCAL BUIT","LOCAL BUIT","Local buit","AV DIAGONAL",99,69,"Diagonal Mar i el Front Marítim del Poblenou",10,"Sant Martí",3644427DF3834D,2012-05-16,31/03/2014,433601,4584499,"433601,1","4584499,9"
rapi,host,SERVEIS,SERVEIS,"RESTAURANTS, BARS I HOTELS (INCLÒS HOSTALS, PENSIONS I FONDES)","Habibi Marjam","AV DIAGONAL",103,68,"el Poblenou",10,"Sant Martí",3544201DF3834D,2012-05-16,31/03/2014,433559,4584484,"433559,9","4584484,4"
localb,locb,"LOCAL BUIT","LOCAL BUIT","LOCAL BUIT","Local buit","AV DIAGONAL",104,71,"Provençals del Poblenou",10,"Sant Martí",3745401DF3834F,2012-05-16,31/03/2014,433696,4584585,"433696,6","4584585,5"
localb,locb,"LOCAL BUIT","LOCAL BUIT","LOCAL BUIT","Local buit","AV DIAGONAL",104,69,"Diagonal Mar i el Front Marítim del Poblenou",10,"Sant Martí",3745401DF3834F,2014-01-10,31/03/2014,433800,4584588,433800,"4584588,8"
moda,pers,"COMERÇ AL DETALL","EQUIPAMENT PERSONAL",VESTIR,"Artex Diagonal","AV DIAGONAL",104,71,"Provençals del Poblenou",10,"Sant Martí",3745401DF3834F,2012-05-16,31/03/2014,433704,4584587,"433704,4","4584587,7"
info,altr,"COMERÇ AL DETALL","OCI I CULTURA",INFORMÀTICA,"Més Tinta","AV DIAGONAL",104,69,"Diagonal Mar i el Front Marítim del Poblenou",10,"Sant Martí",3745401DF3834F,2014-01-10,31/03/2014,433800,4584588,433800,"4584588,8"
pape,cult,"COMERÇ AL DETALL","OCI I CULTURA","LLIBRES, DIARIS I REVISTES","1,2,3 Print","AV DIAGONAL",104,69,"Diagonal Mar i el Front Marítim del Poblenou",10,"Sant Martí",3745401DF3834F,2014-01-10,31/03/2014,433800,4584588,433800,"4584588,8"
cafe,host,SERVEIS,SERVEIS,"RESTAURANTS, BARS I HOTELS (INCLÒS HOSTALS, PENSIONS I FONDES)",Icaro,"AV DIAGONAL",104,71,"Provençals del Poblenou",10,"Sant Martí",3745401DF3834F,2012-05-16,31/03/2014,433720,4584591,433720,"4584591,1"
localb,locb,"LOCAL BUIT","LOCAL BUIT","LOCAL BUIT","Local buit","AV DIAGONAL",105,68,"el Poblenou",10,"Sant Martí",3544201DF3834D,2012-05-16,31/03/2014,433548,4584481,"433548,8","4584481,1"
constr,serv,SERVEIS,SERVEIS,ALTRES,C.A.R.U.C.S.A.,"AV DIAGONAL",107,68,"el Poblenou",10,"Sant Martí",3544201DF3834D,2012-05-16,31/03/2014,433540,4584478,433540,"4584478,8"
educp,serv,SERVEIS,SERVEIS,ENSENYAMENT,Acusub,"AV DIAGONAL",107,68,"el Poblenou",10,"Sant Martí",3544201DF3834D,2012-05-16,31/03/2014,433531,4584475,"433531,1","4584475,5"
localb,locb,"LOCAL BUIT","LOCAL BUIT","LOCAL BUIT","Local buit","AV DIAGONAL",78,69,"Diagonal Mar i el Front Marítim del Poblenou",10,"Sant Martí",4147403DF3844G,2012-05-16,31/03/2014,434007,4584705,"434007,7","4584705,5"
saba,pers,"COMERÇ AL DETALL","EQUIPAMENT PERSONAL","CALÇAT I PELL",Xaloc,"AV DIAGONAL",78,69,"Diagonal Mar i el Front Marítim del Poblenou",10,"Sant Martí",4147403DF3844G,2012-05-16,31/03/2014,434012,4584709,"434012,2","4584709,9"
moda,pers,"COMERÇ AL DETALL","EQUIPAMENT PERSONAL",VESTIR,Donanens,"AV DIAGONAL",78,69,"Diagonal Mar i el Front Marítim del Poblenou",10,"Sant Martí",4147403DF3844G,2012-05-16,31/03/2014,434018,4584714,"434018,8","4584714,4"
moda,pers,"COMERÇ AL DETALL","EQUIPAMENT PERSONAL",VESTIR,Home,"AV DIAGONAL",78,69,"Diagonal Mar i el Front Marítim del Poblenou",10,"Sant Martí",4147403DF3844G,2012-05-16,31/03/2014,434023,4584719,"434023,3","4584719,9"
bar,host,SERVEIS,SERVEIS,"RESTAURANTS, BARS I HOTELS (INCLÒS HOSTALS, PENSIONS I FONDES)","Bar Miki","AV DIAGONAL",80,69,"Diagonal Mar i el Front Marítim del Poblenou",10,"Sant Martí",4147401DF3844G,2012-05-16,31/03/2014,433979,4584682,"433979,9","4584682,2"
bar,host,SERVEIS,SERVEIS,"RESTAURANTS, BARS I HOTELS (INCLÒS HOSTALS, PENSIONS I FONDES)","Bar Chic","AV DIAGONAL",80,69,"Diagonal Mar i el Front Marítim del Poblenou",10,"Sant Martí",4147401DF3844G,2012-05-16,31/03/2014,433983,4584687,"433983,3","4584687,7"
localb,locb,"LOCAL BUIT","LOCAL BUIT","LOCAL BUIT","Local buit","AV DIAGONAL",80,69,"Diagonal Mar i el Front Marítim del Poblenou",10,"Sant Martí",4147401DF3844G,2012-05-16,31/03/2014,433988,4584692,"433988,8","4584692,2"
pape,cult,"COMERÇ AL DETALL","OCI I CULTURA","LLIBRES, DIARIS I REVISTES",Diagonal,"AV DIAGONAL",80,69,"Diagonal Mar i el Front Marítim del Poblenou",10,"Sant Martí",4147401DF3844G,2012-05-16,31/03/2014,433992,4584696,"433992,2","4584696,6"
colma,quot,"COMERÇ AL DETALL","QUOTIDIÀ ALIMENTARI",ALIMENTACIÓ,"El Racó 89","AV DIAGONAL",89,69,"Diagonal Mar i el Front Marítim del Poblenou",10,"Sant Martí",3644423DF3834D,2012-05-16,31/03/2014,433713,4584528,"433713,3","4584528,8"
bar,host,SERVEIS,SERVEIS,"RESTAURANTS, BARS I HOTELS (INCLÒS HOSTALS, PENSIONS I FONDES)","El Bon Gust","AV DIAGONAL",108,71,"Provençals del Poblenou",10,"Sant Martí",3546761DF3834F,2012-05-16,31/03/2014,433560,4584539,433560,"4584539,9"
localb,locb,"LOCAL BUIT","LOCAL BUIT","LOCAL BUIT","Local buit","AV DIAGONAL",109,68,"el Poblenou",10,"Sant Martí",3544201DF3834D,2012-05-16,31/03/2014,433523,4584473,"433523,3","4584473,3"
localb,locb,"LOCAL BUIT","LOCAL BUIT","LOCAL BUIT","Local buit","AV DIAGONAL",109,68,"el Poblenou",10,"Sant Martí",3544201DF3834D,2012-05-16,31/03/2014,433515,4584471,"433515,5","4584471,1"
localb,locb,"LOCAL BUIT","LOCAL BUIT","LOCAL BUIT","Local buit","AV DIAGONAL",109,68,"el Poblenou",10,"Sant Martí",3544201DF3834D,2012-05-16,31/03/2014,433508,4584468,"433508,8","4584468,8"
bar,host,SERVEIS,SERVEIS,"RESTAURANTS, BARS I HOTELS (INCLÒS HOSTALS, PENSIONS I FONDES)","Can Oliva","AV DIAGONAL",109,68,"el Poblenou",10,"Sant Martí",3544201DF3834D,2012-05-16,31/03/2014,433498,4584465,"433498,8","4584465,5"
farm,altr,"COMERÇ AL DETALL","QUOTIDIÀ NO ALIMENTARI",FARMÀCIES,Farmàcia,"AV DIAGONAL",111,68,"el Poblenou",10,"Sant Martí",3544205DF3834D,2012-05-16,31/03/2014,433479,4584459,"433479,9","4584459,9"
localb,locb,"LOCAL BUIT","LOCAL BUIT","LOCAL BUIT","Local buit","AV DIAGONAL",111,68,"el Poblenou",10,"Sant Martí",3544205DF3834D,2012-05-16,31/03/2014,433467,4584455,"433467,7","4584455,5"
localb,locb,"LOCAL BUIT","LOCAL BUIT","LOCAL BUIT","Local buit","AV DIAGONAL",111,68,"el Poblenou",10,"Sant Martí",3544205DF3834D,2012-05-16,31/03/2014,433459,4584452,"433459,9","4584452,2"
localb,locb,"LOCAL BUIT","LOCAL BUIT","LOCAL BUIT","Local buit","AV DIAGONAL",111,68,"el Poblenou",10,"Sant Martí",3544205DF3834D,2012-05-16,31/03/2014,433449,4584449,"433449,9","4584449,9"
admi,ALTRES,ALTRES,ALTRES,ALTRES,"Oficina d atencio ciutadana","CL FRANCISCO GINER",46,31,"la Vila de Gràcia",06,Gràcia,9836205DF2893F,2012-07-19,13/12/2013,429767,4583696,"429767,7","4583696,6"
localb,locb,"LOCAL BUIT","LOCAL BUIT","LOCAL BUIT","Local buit","AV DIAGONAL",123,68,"el Poblenou",10,"Sant Martí",3343508DF3834C,2012-05-16,31/03/2014,433350,4584417,433350,"4584417,7"
admi,ALTRES,ALTRES,ALTRES,ALTRES,"Consolat Honorari de Grècia","CL FREIXA",6,26,"Sant Gervasi - Galvany",05,"Sarrià-Sant Gervasi",7836110DF2873F,2012-06-10,31/03/2014,427779,4583643,"427779,9","4583643,3"
banca,serv,SERVEIS,SERVEIS,"FINANCES I ASSEGURANCES",Santander,"AV DIAGONAL",137,68,"el Poblenou",10,"Sant Martí",3142454DF3834C,2012-05-16,31/03/2014,433138,4584347,"433138,8","4584347,7"
banca,serv,SERVEIS,SERVEIS,"FINANCES I ASSEGURANCES",BBVA,"AV DIAGONAL",137,68,"el Poblenou",10,"Sant Martí",3142454DF3834C,2012-05-16,31/03/2014,433127,4584345,"433127,7","4584345,5"
localb,locb,"LOCAL BUIT","LOCAL BUIT","LOCAL BUIT","Local buit","AV DIAGONAL",141,68,"el Poblenou",10,"Sant Martí",3142453DF3834C,2012-05-16,31/03/2014,433104,4584338,"433104,4","4584338,8"
localb,locb,"LOCAL BUIT","LOCAL BUIT","LOCAL BUIT","Local buit","AV DIAGONAL",141,68,"el Poblenou",10,"Sant Martí",3142453DF3834C,2012-05-16,31/03/2014,433094,4584334,"433094,4","4584334,4"
educp,serv,SERVEIS,SERVEIS,ENSENYAMENT,"Language 4 all","AV DIAGONAL",145,68,"el Poblenou",10,"Sant Martí",3142451DF3834C,2012-05-16,31/03/2014,433079,4584329,"433079,9","4584329,9"
xarc,quot,"COMERÇ AL DETALL","QUOTIDIÀ ALIMENTARI","CARN I PORC","Jamon Jamon","AV DIAGONAL",145,68,"el Poblenou",10,"Sant Martí",3142451DF3834C,2012-05-16,31/03/2014,433073,4584327,"433073,3","4584327,7"
rest,host,SERVEIS,SERVEIS,"RESTAURANTS, BARS I HOTELS (INCLÒS HOSTALS, PENSIONS I FONDES)","Restaurant xinès","AV DIAGONAL",145,68,"el Poblenou",10,"Sant Martí",3142451DF3834C,2012-05-16,31/03/2014,433068,4584326,"433068,8","4584326,6"
localb,locb,"LOCAL BUIT","LOCAL BUIT","LOCAL BUIT","Local buit","AV DIAGONAL",145,68,"el Poblenou",10,"Sant Martí",3142451DF3834C,2012-05-16,31/03/2014,433063,4584323,"433063,3","4584323,3"
localb,locb,"LOCAL BUIT","LOCAL BUIT","LOCAL BUIT","Local buit","AV DIAGONAL",145,68,"el Poblenou",10,"Sant Martí",3142451DF3834C,2012-05-16,31/03/2014,433057,4584322,"433057,7","4584322,2"
localb,locb,"LOCAL BUIT","LOCAL BUIT","LOCAL BUIT","Local buit","AV DIAGONAL",145,68,"el Poblenou",10,"Sant Martí",3142451DF3834C,2012-05-16,31/03/2014,433052,4584321,"433052,2","4584321,1"
bar,host,SERVEIS,SERVEIS,"RESTAURANTS, BARS I HOTELS (INCLÒS HOSTALS, PENSIONS I FONDES)",Romero,"AV DIAGONAL",151,68,"el Poblenou",10,"Sant Martí",3042914DF3834A,2012-05-16,31/03/2014,432996,4584303,"432996,6","4584303,3"
forn,quot,"COMERÇ AL DETALL","QUOTIDIÀ ALIMENTARI","PA, PASTISSERIA I LÀCTICS","Cal Mingo","AV DIAGONAL",156,71,"Provençals del Poblenou",10,"Sant Martí",2944702DF3834C,2012-05-16,31/03/2014,433024,4584367,"433024,4","4584367,7"
pelu,serv,SERVEIS,SERVEIS,ALTRES,Sílvia,"AV DIAGONAL",158,71,"Provençals del Poblenou",10,"Sant Martí",2944702DF3834C,2012-05-16,31/03/2014,433002,4584360,"433002,2",4584360
bar,host,SERVEIS,SERVEIS,"RESTAURANTS, BARS I HOTELS (INCLÒS HOSTALS, PENSIONS I FONDES)",Trujillo,"AV DIAGONAL",158,71,"Provençals del Poblenou",10,"Sant Martí",2944702DF3834C,2012-05-16,31/03/2014,433008,4584362,"433008,8","4584362,2"
rest,host,SERVEIS,SERVEIS,"RESTAURANTS, BARS I HOTELS (INCLÒS HOSTALS, PENSIONS I FONDES)","La Avenida","AV DIAGONAL",161,68,"el Poblenou",10,"Sant Martí",2942201DF3824D,2012-05-16,31/03/2014,432916,4584276,"432916,6","4584276,6"
hote,host,SERVEIS,SERVEIS,"RESTAURANTS, BARS I HOTELS (INCLÒS HOSTALS, PENSIONS I FONDES)","Four Points","AV DIAGONAL",161,68,"el Poblenou",10,"Sant Martí",2942201DF3824D,2012-05-16,31/03/2014,432899,4584271,"432899,9","4584271,1"
cons,serv,SERVEIS,SERVEIS,"SANITAT I ASSISTÈNCIA",Dentiss,"AV DIAGONAL",162,71,"Provençals del Poblenou",10,"Sant Martí",2943101DF3824D,2012-05-16,31/03/2014,432920,4584334,432920,"4584334,4"
llar,llar,"COMERÇ AL DETALL","PARAMENT DE LA LLAR","MOBLES I ARTICLES FUSTA I METALL",Upomer,"AV DIAGONAL",162,68,"el Poblenou",10,"Sant Martí",2943101DF3824D,2014-01-10,31/03/2014,432902,4584300,"432902,2",4584300
banca,serv,SERVEIS,SERVEIS,"FINANCES I ASSEGURANCES","Banco Gallego","AV DIAGONAL",162,71,"Provençals del Poblenou",10,"Sant Martí",2943101DF3824D,2012-05-16,31/03/2014,432952,4584344,"432952,2","4584344,4"
banca,serv,SERVEIS,SERVEIS,"FINANCES I ASSEGURANCES","Catalunya Caixa","AV DIAGONAL",165,68,"el Poblenou",10,"Sant Martí",2842107DF3824B,2012-05-16,31/03/2014,432845,4584254,"432845,5","4584254,4"
flor,altr,"COMERÇ AL DETALL","PARAMENT DE LA LLAR",FLORISTERIES,"Flors i plantes Ikebana","AV DIAGONAL",165,68,"el Poblenou",10,"Sant Martí",2842107DF3824B,2012-05-16,31/03/2014,432826,4584247,"432826,6","4584247,7"
cons,serv,SERVEIS,SERVEIS,"SANITAT I ASSISTÈNCIA","Clínica dental SDS","AV DIAGONAL",169,68,"el Poblenou",10,"Sant Martí",2842107DF3824B,2012-05-16,31/03/2014,432790,4584236,432790,"4584236,6"
llar,llar,"COMERÇ AL DETALL","PARAMENT DE LA LLAR","MOBLES I ARTICLES FUSTA I METALL","Màgic Marc 3","AV DIAGONAL",169,68,"el Poblenou",10,"Sant Martí",2842107DF3824B,2012-05-16,31/03/2014,432813,4584242,"432813,3","4584242,2"
salud,serv,SERVEIS,SERVEIS,ALTRES,"Candi Soria","AV DIAGONAL",169,68,"el Poblenou",10,"Sant Martí",2842107DF3824B,2012-05-16,31/03/2014,432803,4584240,"432803,3",4584240
llar,llar,"COMERÇ AL DETALL","PARAMENT DE LA LLAR","MOBLES I ARTICLES FUSTA I METALL",Madegar,"AV DIAGONAL",171,68,"el Poblenou",10,"Sant Martí",2842107DF3824B,2012-05-16,31/03/2014,432779,4584232,"432779,9","4584232,2"
rest,host,SERVEIS,SERVEIS,"RESTAURANTS, BARS I HOTELS (INCLÒS HOSTALS, PENSIONS I FONDES)",Nanaya,"AV DIAGONAL",173,68,"el Poblenou",10,"Sant Martí",2842107DF3824B,2012-05-16,31/03/2014,432768,4584228,"432768,8","4584228,8"
admi,ALTRES,ALTRES,ALTRES,ALTRES,"Parc de Neteja Barcelona pel Medi Ambient","CL GALILEU","303 305",19,"les Corts",04,"Les Corts",7420404DF2872A,2010-12-16,19/03/2014,427477,4582083,"427477,7","4582083,3"
audiov,cult,"COMERÇ AL DETALL","OCI I CULTURA",MÚSICA*,Imagina,"AV DIAGONAL",177,66,"el Parc i la Llacuna del Poblenou",10,"Sant Martí",2741203DF3824B,2012-05-16,31/03/2014,432672,4584197,"432672,2","4584197,7"
benz,tran,"COMERÇ AL DETALL","QUOTIDIÀ NO ALIMENTARI","COMBUSTIBLES I CARBURANTS",Shell,"AV DIAGONAL",177,66,"el Parc i la Llacuna del Poblenou",10,"Sant Martí",2741203DF3824B,2012-05-16,31/03/2014,432650,4584191,432650,"4584191,1"
bar,host,SERVEIS,SERVEIS,"RESTAURANTS, BARS I HOTELS (INCLÒS HOSTALS, PENSIONS I FONDES)","Frankfurt s Diagonal","AV DIAGONAL",184,71,"Provençals del Poblenou",10,"Sant Martí",2743109DF3824D,2012-05-16,31/03/2014,432713,4584265,"432713,3","4584265,5"
info,altr,"COMERÇ AL DETALL","OCI I CULTURA",INFORMÀTICA,"Sr. Cartucho","AV DIAGONAL",184,71,"Provençals del Poblenou",10,"Sant Martí",2743109DF3824D,2012-05-16,31/03/2014,432723,4584268,"432723,3","4584268,8"
banca,serv,SERVEIS,SERVEIS,"FINANCES I ASSEGURANCES","Sabadell Atlántico","AV DIAGONAL",186,71,"Provençals del Poblenou",10,"Sant Martí",2743130DF3824D,2012-05-16,31/03/2014,432699,4584260,"432699,9",4584260
ocio,cult,SERVEIS,SERVEIS,ALTRES,"Golden Park","AV DIAGONAL",188,66,"el Parc i la Llacuna del Poblenou",10,"Sant Martí",2542301DF3824D,2012-05-16,31/03/2014,432626,4584237,"432626,6","4584237,7"
ofic,serv,SERVEIS,SERVEIS,ALTRES,RBA,"AV DIAGONAL",189,66,"el Parc i la Llacuna del Poblenou",10,"Sant Martí",2741201DF3824B,2012-05-16,31/03/2014,432611,4584178,"432611,1","4584178,8"
cafe,host,SERVEIS,SERVEIS,"RESTAURANTS, BARS I HOTELS (INCLÒS HOSTALS, PENSIONS I FONDES)","Tartine Cafè","AV DIAGONAL",197,66,"el Parc i la Llacuna del Poblenou",10,"Sant Martí",2640204DF3824B,2012-05-16,31/03/2014,432517,4584148,"432517,7","4584148,8"
farm,altr,"COMERÇ AL DETALL","QUOTIDIÀ NO ALIMENTARI",FARMÀCIES,Farmàcia,"AV DIAGONAL",197,66,"el Parc i la Llacuna del Poblenou",10,"Sant Martí",2640204DF3824B,2012-05-16,31/03/2014,432501,4584143,"432501,1","4584143,3"
ofic,serv,SERVEIS,SERVEIS,ALTRES,Capgemini,"AV DIAGONAL",199,66,"el Parc i la Llacuna del Poblenou",10,"Sant Martí",2640203DF3824B,2012-05-16,31/03/2014,432482,4584136,"432482,2","4584136,6"
ofic,serv,SERVEIS,SERVEIS,ALTRES,Atos,"AV DIAGONAL",200,66,"el Parc i la Llacuna del Poblenou",10,"Sant Martí",2542301DF3824D,2012-05-16,31/03/2014,432614,4584233,"432614,4","4584233,3"
espop,serv,SERVEIS,SERVEIS,ALTRES,"PISTES MUNICIPALS DE PETANCA LA CENIA","AV DIAGONAL",201,66,"el Parc i la Llacuna del Poblenou",10,"Sant Martí",NULL,2013-04-16,31/03/2014,43241492069683,45840254299322,"432414,492","4584025,542"
rest,host,SERVEIS,SERVEIS,"RESTAURANTS, BARS I HOTELS (INCLÒS HOSTALS, PENSIONS I FONDES)",Claravía,"AV DIAGONAL",201,66,"el Parc i la Llacuna del Poblenou",10,"Sant Martí",2640203DF3824B,2012-05-16,31/03/2014,432466,4584130,"432466,6",4584130
opti,pers,"COMERÇ AL DETALL",ALTRES,ALTRES,"L òptica universitària","AV DIAGONAL",203,66,"el Parc i la Llacuna del Poblenou",10,"Sant Martí",2541401DF3824B,2012-05-16,31/03/2014,432429,4584120,"432429,9",4584120
hote,host,SERVEIS,SERVEIS,"RESTAURANTS, BARS I HOTELS (INCLÒS HOSTALS, PENSIONS I FONDES)","Hotel Diagonal Barcelona","AV DIAGONAL",205,66,"el Parc i la Llacuna del Poblenou",10,"Sant Martí",2440206DF3824A,2012-05-16,31/03/2014,432414,4584115,"432414,4","4584115,5"
localb,locb,"LOCAL BUIT","LOCAL BUIT","LOCAL BUIT","Local buit","AV DIAGONAL",210,66,"el Parc i la Llacuna del Poblenou",10,"Sant Martí",2542301DF3824D,2012-05-16,31/03/2014,432602,4584229,"432602,2","4584229,9"
ofic,serv,SERVEIS,SERVEIS,ALTRES,"Torre Agbar","AV DIAGONAL",211,66,"el Parc i la Llacuna del Poblenou",10,"Sant Martí",2341801DF3824A,2012-05-16,31/03/2014,432348,4584093,"432348,8","4584093,3"
ccom2,altr,"COMERÇ AL DETALL",ALTRES,"GRANS MAGATZEMS, HIPERMERCATS I CENTRES COMERCIALS","Centre Comercial Glòries","AV DIAGONAL",218,66,"el Parc i la Llacuna del Poblenou",10,"Sant Martí",2542302DF3824D,2012-05-16,31/03/2014,432542,4584209,"432542,2","4584209,9"
ofic,serv,SERVEIS,SERVEIS,ALTRES,"E-Administració i sistemes d informació","AV DIAGONAL",220,66,"el Parc i la Llacuna del Poblenou",10,"Sant Martí",2542301DF3824D,2012-05-16,31/03/2014,432582,4584223,"432582,2","4584223,3"
pape,cult,"COMERÇ AL DETALL","OCI I CULTURA","LLIBRES, DIARIS I REVISTES",TopeGafic,"AV DIAGONAL",225,05,"el Fort Pienc",02,Eixample,1838408DF3813H,2011-07-06,31/03/2014,431837.9,4583922.34,"431837,7","4583922,2"
ofic,serv,SERVEIS,SERVEIS,ALTRES,"Short Cut","AV DIAGONAL",227,05,"el Fort Pienc",02,Eixample,1838407DF3813H,2013-12-12,31/03/2014,431824,4583924,"431824,4","4583924,4"
bar,host,SERVEIS,SERVEIS,"RESTAURANTS, BARS I HOTELS (INCLÒS HOSTALS, PENSIONS I FONDES)","La Llar de Maruehy","AV DIAGONAL",229,05,"el Fort Pienc",02,Eixample,1838406DF3813H,2013-12-11,31/03/2014,431812,4583921,"431812,2","4583921,1"
localb,locb,"LOCAL BUIT","LOCAL BUIT","LOCAL BUIT","Local Buit","AV DIAGONAL",229,05,"el Fort Pienc",02,Eixample,1838406DF3813H,2013-12-11,31/03/2014,431812,4583921,"431812,2","4583921,1"
ofic,serv,SERVEIS,SERVEIS,ALTRES,"Oficina d informació urbanística","AV DIAGONAL",230,66,"el Parc i la Llacuna del Poblenou",10,"Sant Martí",2542301DF3824D,2012-05-16,31/03/2014,432566,4584218,"432566,6","4584218,8"
cons,serv,SERVEIS,SERVEIS,"SANITAT I ASSISTÈNCIA","Diagonal Clínica Veterinària","AV DIAGONAL",237,05,"el Fort Pienc",02,Eixample,1638613DF3813H,2013-12-12,31/03/2014,431682,4583871,"431682,2","4583871,1"
ofic,serv,SERVEIS,SERVEIS,ALTRES,"Coworking Diagonal 237","AV DIAGONAL",237,05,"el Fort Pienc",02,Eixample,1638613DF3813H,2013-12-12,31/03/2014,431682,4583871,"431682,2","4583871,1"
localb,locb,"LOCAL BUIT","LOCAL BUIT","LOCAL BUIT","Local Buit","AV DIAGONAL",239,05,"el Fort Pienc",02,Eixample,1638612DF3813H,2011-07-06,31/03/2014,431667.29,4583872.42,"431667,7","4583872,2"
admi,ALTRES,ALTRES,ALTRES,ALTRES,"Centre De Serveis Socials Garcilaso","CL GARCILASO",103,61,"la Sagrera",09,"Sant Andreu",2061626DF3826A,2012-06-20,18/02/2014,432069,4586184,"432069,9","4586184,4"
ofic,serv,SERVEIS,SERVEIS,ALTRES,"Urbanisme i infraestructures","AV DIAGONAL",240,66,"el Parc i la Llacuna del Poblenou",10,"Sant Martí",2542301DF3824D,2012-05-16,31/03/2014,432555,4584214,"432555,5","4584214,4"
bar,host,SERVEIS,SERVEIS,"RESTAURANTS, BARS I HOTELS (INCLÒS HOSTALS, PENSIONS I FONDES)","Bar Tothom","AV DIAGONAL",241,05,"el Fort Pienc",02,Eixample,1638611DF3813H,2013-12-12,31/03/2014,431654,4583868,"431654,4","4583868,8"
bar,host,SERVEIS,SERVEIS,"RESTAURANTS, BARS I HOTELS (INCLÒS HOSTALS, PENSIONS I FONDES)","Cervecería Cosmpolita","AV DIAGONAL",241,05,"el Fort Pienc",02,Eixample,1638611DF3813H,2013-12-12,31/03/2014,431654,4583868,"431654,4","4583868,8"
farm,altr,"COMERÇ AL DETALL","QUOTIDIÀ NO ALIMENTARI",FARMÀCIES,Farmàcia,"AV DIAGONAL",243,05,"el Fort Pienc",02,Eixample,1638610DF3813H,2013-12-12,31/03/2014,431642,4583860,"431642,2",4583860
inmo,serv,SERVEIS,SERVEIS,"ACTIVITATS IMMOBILIÀRIES","Diagonal Flats","AV DIAGONAL",245,05,"el Fort Pienc",02,Eixample,1638609DF3813H,2013-12-12,31/03/2014,431627,4583862,"431627,7","4583862,2"
localb,locb,"LOCAL BUIT","LOCAL BUIT","LOCAL BUIT","Local Buit","AV DIAGONAL",247,05,"el Fort Pienc",02,Eixample,1638608DF3813H,2011-07-06,31/03/2014,431607.84,4583860.95,"431607,7",4583860
admi,ALTRES,ALTRES,ALTRES,ALTRES,"Ministerio De Justicia. Gerencia Territorial De Cataluña","CL GARCILASO","123 127",61,"la Sagrera",09,"Sant Andreu",1962806DF3816B,2012-06-20,18/02/2014,431948,4586232,"431948,8","4586232,2"
saba,pers,"COMERÇ AL DETALL","EQUIPAMENT PERSONAL","CALÇAT I PELL","Tascón Outlet","AV DIAGONAL",251,05,"el Fort Pienc",02,Eixample,1537431DF3813H,2013-12-12,31/03/2014,431572,4583832,"431572,2","4583832,2"
localb,locb,"LOCAL BUIT","LOCAL BUIT","LOCAL BUIT","Local Buit","AV DIAGONAL",253,05,"el Fort Pienc",02,Eixample,1537430DF3813H,2013-12-12,31/03/2014,431565,4583831,"431565,5","4583831,1"
