CODI_EIXOS,M_CODI_EIXOS,BCN1,BCN2,BCN3,NOM,CARRCADAST,DOORNUM,CBARRI,NBARRI,CDISTRI,NDISTRIC,RCNUMBER,DATAINICI,ULTIMA_VISITA,X,Y,X_ED50,Y_ED50
past,quot,"COMERÇ AL DETALL","QUOTIDIÀ ALIMENTARI","PA, PASTISSERIA I LÀCTICS","Bobo Dulcería","CL ROGER DE FLOR",143,07,"la Dreta de l Eixample",02,Eixample,1033907DF3813C,2011-08-25,12/02/2014,431073,4583397,"431073,3","4583397,7"
pelu,serv,SERVEIS,SERVEIS,ALTRES,"Eassy Cut Perruqueries","CL ROGER DE FLOR",147,07,"la Dreta de l Eixample",02,Eixample,0934715DF3803D,2011-08-25,12/02/2014,431045,4583427,"431045,5","4583427,7"
banca,serv,SERVEIS,SERVEIS,"FINANCES I ASSEGURANCES","Sabadell Atlántico","CL ROGER DE FLOR",148,07,"la Dreta de l Eixample",02,Eixample,1134829DF3813C,2011-08-25,12/02/2014,431126,4583384,"431126,6","4583384,4"
apar,tran,SERVEIS,SERVEIS,ALTRES,Parking,"CL ROGER DE FLOR",148,07,"la Dreta de l Eixample",02,Eixample,1134829DF3813C,2011-08-25,12/02/2014,431139,4583370,"431139,9",4583370
masco,serv,SERVEIS,SERVEIS,ALTRES,"Bestioles Clínica Veterinària","CL ROGER DE FLOR",148,07,"la Dreta de l Eixample",02,Eixample,1134829DF3813C,2011-08-25,12/02/2014,431151,4583358,"431151,1","4583358,8"
localb,locb,"LOCAL BUIT","LOCAL BUIT","LOCAL BUIT","Local Buit","CL ROGER DE FLOR",149,07,"la Dreta de l Eixample",02,Eixample,0934714DF3803D,2011-08-25,12/02/2014,431041,4583436,"431041,1","4583436,6"
cons,serv,SERVEIS,SERVEIS,"SANITAT I ASSISTÈNCIA","Àrea de Consultes Externes II Hospital de Nens de Barcelona","CL ROGER DE FLOR",153,07,"la Dreta de l Eixample",02,Eixample,0934712DF3803D,2011-08-25,12/02/2014,431030,4583446,431030,"4583446,6"
salud,serv,SERVEIS,SERVEIS,ALTRES,"Rosa D Abril","CL ROGER DE FLOR",153,07,"la Dreta de l Eixample",02,Eixample,0934712DF3803D,2013-11-09,12/02/2014,431007,4583444,"431007,7","4583444,4"
localb,locb,"LOCAL BUIT","LOCAL BUIT","LOCAL BUIT","Local Buit","CL ROGER DE FLOR",157,07,"la Dreta de l Eixample",02,Eixample,0934712DF3803D,2011-08-25,12/02/2014,431019,4583454,"431019,9","4583454,4"
cafe,host,SERVEIS,SERVEIS,"RESTAURANTS, BARS I HOTELS (INCLÒS HOSTALS, PENSIONS I FONDES)","Seven 7 Cafè","CL ROGER DE FLOR",157,07,"la Dreta de l Eixample",02,Eixample,0934712DF3803D,2011-08-25,12/02/2014,431014,4583461,"431014,4","4583461,1"
