"ID_BCN","ID_PRINCIP","N_PRINCIP","ID_SECTOR","N_SECTOR","ID_GRUPACT","N_GRUPACT","ID_ACT","N_ACT","N_LOCAL","SN_CARRER","SN_MERCAT","ID_MERCAT","N_MERCAT","SN_GALERIA","N_GALERIA","SN_CCOMERC","ID_CCOMERC","N_CCOMERC","N_CARRER","NUM_POLICI","REF_CAD","DATA","Codi_Barri","Nom_Barri","Codi_Districte","N_DISTRI","N_EIX","SN_EIX","SEC_CENS","Y_UTM_ETRS","X_UTM_ETRS","LATITUD","LONGITUD"
62560,1,"Actiu",2,"Serveis",16,"Altres",16006,"Perruqueries","ANTONIO MERCE",1,0,0," ",0," ",0,"0"," ","AV MISTRAL",71,"9310707DF2891A",2016-09-13,10,"Sant Antoni",2,"Eixample","Sant Antoni Comerç",1,2154,4580791.953,429251.957,41.375538,2.153962
62561,1,"Actiu",2,"Serveis",14,"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)",14000,"Serveis de menjar i begudes","FILOMENA",1,0,0," ",0," ",0,"0"," ","ALDANA",8,"0309504DF3800G",2016-09-12,10,"Sant Antoni",2,"Eixample","Sant Antoni Comerç",1,2170,4580792.085,430276.819,41.375628,2.166216
62562,1,"Actiu",2,"Serveis",13,"Reparacions (Electrodomèstics i automòbils)",13000,"Reparacions (Electrodomèstics i automòbils)","KUKU 4G",1,0,0," ",0," ",0,"0"," ","ALDANA",3,"0310213DF3801A",2016-09-12,10,"Sant Antoni",2,"Eixample","Sant Antoni Comerç",1,2170,4580792.09,430244.552,41.375626,2.165831
62563,2,"Sense informació",4,"Sense informació",444,"-",444,"-","SN",1,0,0," ",0," ",0,"0"," ","ROCAFORT",6,"9710919DF2891B",2016-09-13,10,"Sant Antoni",2,"Eixample","Sant Antoni Comerç",1,2156,4580792.218,429625.357,41.375573,2.158427
62564,1,"Actiu",2,"Serveis",16,"Altres",16006,"Perruqueries","BELKYS I YINET",1,0,0," ",0," ",0,"0"," ","AV MISTRAL",73,"9209607DF2890G",2016-09-13,10,"Sant Antoni",2,"Eixample","Sant Antoni Comerç",1,2150,4580792.445,429211.51,41.375539,2.153478
62565,1,"Actiu",2,"Serveis",14,"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)",14000,"Serveis de menjar i begudes","TAPAS JULIA",1,0,0," ",0," ",0,"0"," ","AV MISTRAL",73,"9209607DF2890G",2016-09-13,10,"Sant Antoni",2,"Eixample","Sant Antoni Comerç",1,2150,4580792.569,429218.857,41.37554,2.153566
62566,1,"Actiu",2,"Serveis",14,"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)",14000,"Serveis de menjar i begudes","CERVESSERIA MON DORE",1,0,0," ",0," ",0,"0"," ","FLORIDABLANCA",3,"9310704DF2891A",2016-09-13,10,"Sant Antoni",2,"Eixample","Sant Antoni Comerç",1,2154,4580793.172,429290.4,41.375552,2.154421
62567,1,"Actiu",1,"Comerç al detall",3,"Parament de la llar",3003,"Mobles i articles fusta i metall","EL RECIBIDOR",1,0,0," ",0," ",0,"0"," ","VILADOMAT",9,"0009307DF3800G",2016-09-12,10,"Sant Antoni",2,"Eixample","Sant Antoni Comerç",1,2171,4580793.203,429965.261,41.375611,2.162491
62568,2,"Sense informació",4,"Sense informació",444,"-",444,"-","SN",1,0,0," ",0," ",0,"0"," ","ENTENÇA",8,"9510919DF2891B",2016-09-13,10,"Sant Antoni",2,"Eixample","Sant Antoni Comerç",1,2155,4580794.06,429435.047,41.375573,2.156151
62569,2,"Sense informació",4,"Sense informació",444,"-",444,"-","SN",1,0,0," ",0," ",0,"0"," ","CALABRIA",11,"9809403DF2890H",2016-09-12,10,"Sant Antoni",2,"Eixample","Sant Antoni Comerç",1,2173,4580794.127,429776.26,41.375603,2.160231
